"","x"
"265",0.15
"266",0.225
"267",0.125
"268",0.2
"269",0.15
"270",0.175
"271",0.1
"272",0.175
"273",0.175
"274",0.1
"275",0.1
"276",0.125
"277",0.15
"278",0.15
"279",0.15
"280",0.175
"281",0.15
"282",0.125
"283",0.025
"284",0.15
"285",0.225
"286",0.075
"287",0.175
"288",0.175
"289",0.075
"290",0.175
"291",0.125
"292",0.1
"293",0.175
"294",0.15
"295",0.175
"296",0.025
"297",0.2
"298",0.175
"299",0.1
"300",0.05
"301",0.125
"302",0.15
"303",0.125
"304",0.175
"305",0.275
"306",0.125
"307",0.1
"308",0.15
"309",0.25
"310",0.15
"311",0.1
"312",0.175
"313",0.175
"314",0.1
"315",0.175
"316",0.15
"317",0.1
"318",0.125
"319",0.1
"320",0.2
"321",0.2
"322",0.15
"323",0.125
"324",0.2
"325",0.075
"326",0.1
"327",0.2
"328",0.125
"329",0.175
"330",0.05
"331",0.275
"332",0.175
"333",0.075
"334",0.125
"335",0.05
"336",0.2
"337",0.225
"338",0.125
"339",0.2
"340",0.125
"341",0.175
"342",0.1
"343",0.1
"344",0.15
"345",0.15
"346",0.125
"347",0.2
"348",0.15
"349",0.075
"350",0.125
"351",0.15
"352",0.1
"353",0.1
"354",0.15
"355",0.225
"356",0.15
"357",0.125
"358",0.125
"359",0.075
"360",0.175
"361",0.1
"362",0.25
"363",0.175
"364",0.125
"365",0.125
"366",0.125
"367",0.15
"368",0.075
"369",0.2
"370",0.05
"371",0.125
"372",0.175
"373",0.1
"374",0.15
"375",0.125
"376",0.225
"377",0.225
"378",0.15
"379",0.225
"380",0.075
"381",0.075
"382",0.2
"383",0.15
"384",0.05
"385",0.075
"386",0.125
"387",0.2
"388",0.1
"389",0.225
"390",0.225
"391",0.225
"392",0.125
"393",0.05
"394",0.175
"395",0.175
"396",0.175
"397",0.175
"398",0.175
"399",0.175
"400",0.1
"401",0.25
"402",0.2
"403",0.15
"404",0.125
"405",0.2
"406",0.25
"407",0.1
"408",0.175
"409",0.05
"410",0.1
"411",0.125
"412",0.15
"413",0.225
"414",0.175
"415",0.175
"416",0.075
"417",0.15
"418",0.2
"419",0.05
"420",0.125
"421",0.075
"422",0.075
"423",0.175
"424",0.075
"425",0.15
"426",0.075
"427",0.15
"428",0.175
"429",0.15
"430",0.225
"431",0.125
"432",0.125
"433",0.2
"434",0.15
"435",0.15
"436",0.075
"437",0.15
"438",0.1
"439",0.15
"440",0.15
"441",0.05
"442",0.175
"443",0.15
"444",0.175
"445",0.225
"446",0.15
"447",0.225
"448",0.175
"449",0.125
"450",0.15
"451",0.075
"452",0.1
"453",0.25
"454",0.125
"455",0.275
"456",0.125
"457",0.125
"458",0.15
"459",0.25
"460",0.125
"461",0.175
"462",0.05
"463",0.125
"464",0.25
"465",0.15
"466",0.15
"467",0.25
"468",0.175
"469",0.125
"470",0.025
"471",0.075
"472",0.15
"473",0.15
"474",0.075
"475",0.15
"476",0.125
"477",0.2
"478",0.275
"479",0.2
"480",0.175
"481",0.125
"482",0.175
"483",0.075
"484",0.225
"485",0.075
"486",0.175
"487",0.175
"488",0.2
"489",0.275
"490",0.175
"491",0.2
"492",0.15
"493",0.15
"494",0.2
"495",0.075
"496",0.075
"497",0.125
"498",0.275
"499",0.125
"500",0.125
