"","x"
"315",0.15
"316",0.2
"317",0.3
"318",0.15
"319",0.05
"320",0.05
"321",0.1
"322",0.1
"323",0.25
"324",0.2
"325",0.2
"326",0.1
"327",0.2
"328",0.15
"329",0.1
"330",0.3
"331",0.35
"332",0.15
"333",0.3
"334",0.05
"335",0.15
"336",0.2
"337",0.1
"338",0.1
"339",0.1
"340",0.2
"341",0.15
"342",0.3
"343",0.2
"344",0.15
"345",0.1
"346",0.15
"347",0.3
"348",0.1
"349",0.1
"350",0.25
"351",0.3
"352",0.1
"353",0.15
"354",0.25
"355",0.15
"356",0
"357",0.25
"358",0.2
"359",0.4
"360",0.2
"361",0.05
"362",0.15
"363",0.2
"364",0.1
"365",0.1
"366",0
"367",0.05
"368",0.35
"369",0.15
"370",0.05
"371",0.15
"372",0.3
"373",0.15
"374",0.1
"375",0.2
"376",0.25
"377",0.2
"378",0.15
"379",0.25
"380",0.1
"381",0.2
"382",0.25
"383",0.1
"384",0.15
"385",0.15
"386",0
"387",0.1
"388",0.15
"389",0.15
"390",0.1
"391",0.1
"392",0.2
"393",0.15
"394",0.15
"395",0.15
"396",0.1
"397",0.1
"398",0.1
"399",0.1
"400",0.2
"401",0.2
"402",0.2
"403",0.2
"404",0.1
"405",0.15
"406",0.2
"407",0.1
"408",0.15
"409",0.25
"410",0.15
"411",0.1
"412",0.2
"413",0.1
"414",0.15
"415",0.2
"416",0.25
"417",0.05
"418",0.3
"419",0.25
"420",0.15
"421",0.25
"422",0.1
"423",0.3
"424",0.1
"425",0.1
"426",0.1
"427",0
"428",0.05
"429",0.05
"430",0.2
"431",0.1
"432",0.15
"433",0.15
"434",0.1
"435",0.1
"436",0.1
"437",0.05
"438",0.05
"439",0.2
"440",0.4
"441",0.15
"442",0.05
"443",0.05
"444",0.3
"445",0.05
"446",0.05
"447",0.2
"448",0.05
"449",0.1
"450",0.05
"451",0.05
"452",0.2
"453",0.2
"454",0.3
"455",0.1
"456",0.1
"457",0.15
"458",0.2
"459",0.15
"460",0.05
"461",0.25
"462",0.05
"463",0.15
"464",0.05
"465",0.2
"466",0.05
"467",0.15
"468",0.2
"469",0.15
"470",0.15
"471",0.15
"472",0.15
"473",0.3
"474",0.1
"475",0.05
"476",0.15
"477",0.05
"478",0.15
"479",0.05
"480",0.1
"481",0.3
"482",0.2
"483",0.15
"484",0.15
"485",0.15
"486",0.15
"487",0.05
"488",0.15
"489",0.15
"490",0.25
"491",0.25
"492",0.1
"493",0.2
"494",0.3
"495",0.1
"496",0.15
"497",0.2
"498",0.4
"499",0.2
"500",0.15
