"","x"
"358",0.4
"359",0.1
"360",0.3
"361",0.2
"362",0
"363",0.1
"364",0.2
"365",0
"366",0
"367",0.1
"368",0.1
"369",0
"370",0.3
"371",0
"372",0.3
"373",0.2
"374",0
"375",0.1
"376",0.2
"377",0.2
"378",0.3
"379",0
"380",0.4
"381",0.3
"382",0.3
"383",0.2
"384",0.2
"385",0.1
"386",0.2
"387",0.3
"388",0.3
"389",0.1
"390",0.1
"391",0.2
"392",0.4
"393",0.2
"394",0.1
"395",0.1
"396",0
"397",0.3
"398",0
"399",0.2
"400",0
"401",0
"402",0.1
"403",0.1
"404",0.1
"405",0.3
"406",0.1
"407",0.1
"408",0.2
"409",0.3
"410",0.3
"411",0.3
"412",0
"413",0
"414",0.1
"415",0.3
"416",0.1
"417",0.1
"418",0
"419",0.1
"420",0.2
"421",0
"422",0
"423",0.2
"424",0
"425",0.2
"426",0.1
"427",0.2
"428",0.1
"429",0.1
"430",0.2
"431",0.1
"432",0.1
"433",0.4
"434",0
"435",0.1
"436",0.1
"437",0
"438",0.1
"439",0.1
"440",0.1
"441",0
"442",0.1
"443",0.3
"444",0.3
"445",0.1
"446",0
"447",0
"448",0.3
"449",0
"450",0.2
"451",0.4
"452",0.3
"453",0.2
"454",0.3
"455",0.2
"456",0.2
"457",0
"458",0.2
"459",0.1
"460",0.2
"461",0.2
"462",0.4
"463",0.2
"464",0.1
"465",0.2
"466",0.2
"467",0.1
"468",0
"469",0.1
"470",0.1
"471",0.4
"472",0.1
"473",0.3
"474",0.2
"475",0.2
"476",0
"477",0.2
"478",0.2
"479",0
"480",0.1
"481",0.1
"482",0.3
"483",0.1
"484",0
"485",0
"486",0.1
"487",0.1
"488",0.1
"489",0.2
"490",0.2
"491",0
"492",0.1
"493",0
"494",0.4
"495",0.1
"496",0.1
"497",0.2
"498",0.4
"499",0
"500",0.2
